Target	Feature Type	Feature	Phenotype	Model	N	Beta Or Group Effect	P value	FDR q value	Interpretation
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MYD8	k_PFHpS	log1p_feature_cpm ~ k_PFHpS + Age + Sex + BMI + SequencingBatch	46.0	3.2568052533714	0.281580126750866	0.566559611168744	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A015WY92	k_LPFOS	log1p_feature_cpm ~ k_LPFOS + Age + Sex + BMI + SequencingBatch	46.0	-10.0439307626035	0.315150936039809	0.566818230287427	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_R6X7P7	k_LPFOS	log1p_feature_cpm ~ k_LPFOS + Age + Sex + BMI + SequencingBatch	46.0	-5.88601674539513	0.315835939625558	0.566887161517362	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A0M6WHH7	k_LPFOS	log1p_feature_cpm ~ k_LPFOS + Age + Sex + BMI + SequencingBatch	46.0	-1.97010893104	0.316323036126688	0.566887161517362	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A078Q4S1	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	8.62142208737819	0.347800192559061	0.567029606969591	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_I9TU07	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	-5.00040603159696	0.349116139558786	0.567029606969591	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A139KA50	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	22.148452844672	0.349379257567572	0.567029606969591	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_E2NIV4	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	-6.9991046235159	0.34970236899971	0.567029606969591	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MXE8	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	6.69438464870386	0.349824716743096	0.567029606969591	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MT33	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	5.08846745273168	0.349857267500238	0.567029606969591	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0NNA1	k_PFOA	log1p_feature_cpm ~ k_PFOA + Age + Sex + BMI + SequencingBatch	46.0	8.35151899648018	0.271172560859606	0.567306612676999	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A139KYP6	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	-9.55110951421961	0.351227797073979	0.567545757092049	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_K9E8W1	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	-28.4005785064468	0.351690136550157	0.567545757092049	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A0P0FZ33	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	-10.8734605512657	0.351943462717383	0.567545757092049	not_significant
