Feature Set	Prediction Repeat	Fold	Tuned Mtry	Tuned Min Node Size	Inner Rmse
agora2_reaction	10	5	44	10	0.971511616348827
agora2_reaction	11	1	44	10	0.904713644868082
agora2_reaction	11	2	666	10	1.07169981507231
agora2_reaction	11	3	400	3	0.806963353853801
agora2_reaction	11	4	44	10	1.02255849656313
agora2_reaction	11	5	400	10	0.965481698914579
agora2_reaction	12	1	44	10	0.811357115120565
agora2_reaction	12	2	44	10	0.981968139977496
agora2_reaction	12	3	666	10	0.944230874434119
agora2_reaction	12	4	400	10	0.960668335103385
agora2_reaction	12	5	44	5	0.953442450078301
agora2_reaction	13	1	200	3	0.945688388139543
agora2_reaction	13	2	200	10	0.946057922770277
agora2_reaction	13	3	666	3	0.950649670260354
agora2_reaction	13	4	44	10	0.582716055487013
agora2_reaction	13	5	400	10	1.1292783543729
agora2_reaction	14	1	44	10	0.763520576407465
agora2_reaction	14	2	400	3	1.03560295792415
agora2_reaction	14	3	666	10	1.0214321253052
agora2_reaction	14	4	400	10	1.02594310952212
agora2_reaction	14	5	44	10	0.995886963089446
agora2_reaction	15	1	44	5	0.977257044453772
agora2_reaction	15	2	666	10	0.898235732303039
agora2_reaction	15	3	200	10	0.837620667990106
